title,rank,top_250_rank,year,kind,imdb_id,rating,genre,director
The Treasure of the Sierra Madre,117,68,1948,movie,40897,8.5,"Adventure, Drama, Western, Action",John Huston
5 Against the House,118,,1955,movie,48077,6,"Drama, Crime, Film-Noir",Phil Karlson
Kagemusha,119,,1980,movie,80979,7.9,"Drama, History, War",Akira Kurosawa
His Trust Fulfilled,120,,1911,movie,1681,4.7,"Short, Drama",D.W. Griffith
His Trust,121,,1911,movie,1680,5.3,"Short, Drama, War",D.W. Griffith
Gojira,122,,1954,movie,47034,7.3,"Drama, Horror, Sci-Fi, Thriller",Ishirô Honda
Spartacus,123,,1960,movie,54331,8,"Action, Adventure, Biography, Drama, History",Stanley Kubrick
Dreams of the Rarebit Fiend: The Pet,124,,1921,movie,12123,7.1,"Animation, Short",Winsor McCay
The Maltese Falcon,125,98,1941,movie,33870,8.4,"Crime, Film-Noir, Mystery",John Huston
Planet of the Apes,126,,1968,movie,63442,8,"Adventure, Mystery, Sci-Fi",Franklin J. Schaffner
The Sea Hawk,127,,1924,movie,15310,7.2,"Adventure, Drama, Romance",Frank Lloyd
All Quiet on the Western Front,128,212,1930,movie,20629,8.2,"Action, Drama, History, War",Lewis Milestone
"Der Golem, wie er in die Welt kam",129,,1920,movie,11237,7.4,"Fantasy, Horror",Carl Boese
In Like Flint,130,,1967,movie,61810,5.9,"Action, Adventure, Comedy, Sci-Fi",Gordon Douglas
The Bells of St. Mary's,131,,1945,movie,37536,7.4,"Drama, Family",Leo McCarey
Duel,132,,1971,tv movie,67023,7.7,"Mystery, Thriller",Steven Spielberg
Stachka,133,,1925,movie,15361,7.8,Drama,Sergei M. Eisenstein
Oklahoma!,134,,1955,movie,48445,7.1,"Musical, Romance, Western",Fred Zinnemann
At Land,135,,1944,movie,36618,7.4,Short,Maya Deren
Jurassic Park,136,,1993,movie,107290,7.9,"Action, Adventure, Family, Sci-Fi",Steven Spielberg
Stagecoach,137,,1939,movie,31971,7.9,"Action, Drama, Romance, Western",John Ford
Paths of Glory,138,51,1957,movie,50825,8.6,"Crime, Drama, War",Stanley Kubrick
Happy Days,139,,1974,tv series,70992,7.7,"Comedy, Family, Music",Jerry Paris
Saturday Night Fever,140,,1977,movie,76666,6.8,"Drama, Music, Romance",John Badham
The Philadelphia Story,141,241,1940,movie,32904,8.1,"Comedy, Romance",George Cukor
8½,142,186,1963,movie,56801,8.2,"Drama, Fantasy",Federico Fellini
Doctor Who,143,,1963,tv series,56751,8.6,"Adventure, Drama, Sci-Fi",Douglas Camfield
M,144,58,1931,movie,22100,8.6,"Crime, Thriller",Fritz Lang
Moby Dick,145,,1956,movie,49513,7.4,"Adventure, Drama",John Huston
Carrie,146,,1976,movie,74285,7.4,"Horror, Thriller",Brian De Palma
Rebel Without a Cause,147,,1955,movie,48545,7.9,"Drama, Romance",Nicholas Ray
Superman,148,,1978,movie,78346,7.3,"Action, Adventure, Family, Sci-Fi",Richard Donner
The Muppet Show,149,,1976,tv series,74028,8.8,"Comedy, Family, Music",Peter Harris
Pinocchio,150,,1940,movie,32910,7.7,"Animation, Drama, Family, Fantasy, Music",Norman Ferguson
21-87,151,,1964,movie,222664,7.5,Short,Arthur Lipsett
"Scooby Doo, Where Are You!",152,,1969,tv series,63950,8.1,"Animation, Family, Mystery, Comedy, Adventure",Joseph Barbera
Animal Farm,153,,1954,movie,47834,7.1,"Animation, Drama",Joy Batchelor
Swing Your Lady,154,,1938,movie,30820,4.8,"Comedy, Music, Romance, Sport",Ray Enright
Shane,155,,1953,movie,46303,7.8,"Drama, Western",George Stevens
The Karate Kid,156,,1984,movie,87538,6.9,"Drama, Family, Sport",John G. Avildsen
Jeopardy!,157,,1984,tv series,159881,8.6,Game-Show,Kevin McCarthy
Leave It to Beaver,158,,1957,tv series,50032,8.2,"Comedy, Family",Norman Tokar
Bonnie and Clyde,159,,1967,movie,61418,8,"Biography, Crime, Drama, Romance",Arthur Penn
One Flew Over the Cuckoo's Nest,160,9,1975,movie,73486,8.9,Drama,Milos Forman
Saturday Night Live,161,,1975,tv series,72562,8.1,"Comedy, Music",Dave Wilson
C'era una volta il West,162,21,1968,movie,64116,8.8,Western,Sergio Leone
Sunrise: A Song of Two Humans,163,152,1927,movie,18455,8.4,"Drama, Romance",F.W. Murnau
